"COD_RETORNO","TIPO","DATA_REFERENCIA","VALOR","VARIACAO","VAR_ACUM","GRUPO","RETORNO_DIA","VARIANCIA_DIA","STA"
"0CMSCTF008",0,2025-03-24 00:00:00.000,105.60926273,0.14869871157308912,0.000087743281045622,2,0.005715807435098419,0.000087743281045622,1
"0CMSCTF008",0,2025-03-21 00:00:00.000,105.00734239,0.15525139989722203,0.00009564681416685378,2,0.0020080975509575534,0.00009564681416685378,1
"0CMSCTF008",0,2025-03-20 00:00:00.000,104.79668898,0.16557837962257455,0.00010879444364459288,2,-0.0004493106670838903,0.00010879444364459288,1
"0CMSCTF008",0,2025-03-19 00:00:00.000,104.84378583,0.1770407115276419,0.0001243786251516417,2,0.010994709310830892,0.0001243786251516417,1
"0CMSCTF008",0,2025-03-18 00:00:00.000,103.69737267,0.177397318938432,0.0001248801935180308,2,0.002555972847621829,0.0001248801935180308,1
"0CMSCTF008",0,2025-03-17 00:00:00.000,103.43266344,0.18907616332332564,0.00014186426800424172,2,0.011008848977244945,0.00014186426800424172,1
"0CMSCTF008",0,2025-03-14 00:00:00.000,102.30023368,0.19104266940221798,0.0001448305616362109,2,0.018858470112167264,0.0001448305616362109,1
"0CMSCTF008",0,2025-03-13 00:00:00.000,100.38908509,0.16992168835602958,0.00011457690545144301,2,0.006727832964107148,0.00011457690545144301,1
"0CMSCTF008",0,2025-03-12 00:00:00.000,99.715951,0.17714420043883697,0.00012452407836950337,2,0.006035663937586647,0.00012452407836950337,1
"0CMSCTF008",0,2025-03-11 00:00:00.000,99.11591167,0.18591930546119223,0.0001371666196157623,2,-0.006866373605605005,0.0001371666196157623,1
"0CMSCTF008",0,2025-03-10 00:00:00.000,99.79882042,0.19447754227455855,0.00015008537479822503,2,-0.008223297521637788,0.00015008537479822503,1
"0CMSCTF008",0,2025-03-07 00:00:00.000,100.62287941,0.2019993869236747,0.00016191965205373192,2,0.021782912041564288,0.00016191965205373192,1
"0CMSCTF008",0,2025-03-06 00:00:00.000,98.45472022,0.17175435980952508,0.00011706174648245954,2,0.0060953230133363396,0.00011706174648245954,1
"0CMSCTF008",0,2025-03-05 00:00:00.000,97.85643213,0.17997064914512134,0.00012852950219728718,2,-0.0069569062526147925,0.00012852950219728718,1
"0CMSCTF008",0,2025-02-28 00:00:00.000,98.53958371,0.18784925827108037,0.0001400291421944248,2,-0.017461961643598922,0.0001400291421944248,1
"0CMSCTF008",0,2025-02-27 00:00:00.000,100.27538932,0.17124286068476358,0.00011636554498214818,2,0.004538614708271312,0.00011636554498214818,1
"0CMSCTF008",0,2025-02-26 00:00:00.000,99.82130919,0.18107313868793287,0.00013010905378690226,2,-0.012530443480037927,0.00013010905378690226,1
"0CMSCTF008",0,2025-02-25 00:00:00.000,101.07998387,0.1783663225040268,0.00012624819445877179,2,0.0066341568482432955,0.00012624819445877179,1
"0CMSCTF008",0,2025-02-24 00:00:00.000,100.41162286,0.1865169915285652,0.00013804995289232882,2,-0.016524309168817586,0.00013804995289232882,1
"0CMSCTF008",0,2025-02-21 00:00:00.000,102.08464022,0.17293425211152735,0.00011867561727529088,2,-0.005929246504618937,0.00011867561727529088,1
"0CMSCTF008",0,2025-02-20 00:00:00.000,102.69172321,0.18145720122005174,0.0001306615709310093,2,-0.001326815681430675,0.0001306615709310093,1
"0CMSCTF008",0,2025-02-19 00:00:00.000,102.82806663,0.19387723477919083,0.00014916024668899,2,-0.014096262323184568,0.00014916024668899,1
"0CMSCTF008",0,2025-02-18 00:00:00.000,104.28782241,0.18919996507466783,0.0001420501062867283,2,-0.009486519433714117,0.0001420501062867283,1
"0CMSCTF008",0,2025-02-17 00:00:00.000,105.28185838,0.1941113510678241,0.0001495207008467304,2,0.007446347640323521,0.0001495207008467304,1
"0CMSCTF008",0,2025-02-14 00:00:00.000,104.50080467,0.20268527574669676,0.00016302111509727975,2,0.01927578617640853,0.00016302111509727975,1
"0CMSCTF008",0,2025-02-13 00:00:00.000,102.50575931,0.1831385515813268,0.0001330941629972472,2,0.004200499502583653,0.0001330941629972472,1
"0CMSCTF008",0,2025-02-12 00:00:00.000,102.07608697,0.19420334320975532,0.00014966245442002389,2,-0.015306118636460328,0.00014966245442002389,1
"0CMSCTF008",0,2025-02-11 00:00:00.000,103.65049396,0.18615819104403342,0.00013751933370153508,2,0.015423310931795614,0.00013751933370153508,1
"0CMSCTF008",0,2025-02-10 00:00:00.000,102.06412514,0.1761403295232299,0.00012311672890695242,2,0.004560136009779483,0.00012311672890695242,1
"0CMSCTF008",0,2025-02-07 00:00:00.000,101.59975844,0.18634873908106356,0.00013780100221072342,2,-0.011566095338438238,0.00013780100221072342,1
"0CMSCTF008",0,2025-02-06 00:00:00.000,102.78169294,0.18673903567029634,0.00013837883905981036,2,0.009325738095530575,0.00013837883905981036,1
"0CMSCTF008",0,2025-02-05 00:00:00.000,101.82763336,0.19165247959765477,0.00014575663863464078,2,-0.008811928745324254,0.00014575663863464078,1
"0CMSCTF008",0,2025-02-04 00:00:00.000,102.72889631,0.1979740476726077,0.00015553064901538074,2,-0.009168473484857331,0.00015553064901538074,1
"0CMSCTF008",0,2025-02-03 00:00:00.000,103.67509444,0.20439765874763574,0.00016578731310124985,2,0.005183052842898143,0.00016578731310124985,1
"0CMSCTF008",0,2025-01-31 00:00:00.000,103.13913111,0.21633889322850236,0.00018572427271164026,2,-0.0056168966888444916,0.00018572427271164026,1
"0CMSCTF008",0,2025-01-30 00:00:00.000,103.720083,0.22886282962291252,0.00020784997929764398,2,0.02638087958393824,0.00020784997929764398,1
