"COD_RETORNO","TIPO","DATA_REFERENCIA","VALOR","VARIACAO","VAR_ACUM","GRUPO","RETORNO_DIA","VARIANCIA_DIA","STA"
BLU9CTF005,0,2025-03-24 00:00:00.000,3.86973453,0.0076768405669053125,0.0000002338646074987424,2,0.0005119542493971905,0.0000002338646074987424,1
BLU9CTF005,0,2025-03-21 00:00:00.000,3.86775391,0.0076100499674807785,0.00000022981293852204047,2,0.0005059202183131041,0.00000022981293852204047,1
BLU9CTF005,0,2025-03-20 00:00:00.000,3.86579763,0.007547677254054787,0.00000022606123782292066,2,0.00047004451998095405,0.00000022606123782292066,1
BLU9CTF005,0,2025-03-19 00:00:00.000,3.86398096,0.007559932066628701,0.00000022679592401603534,2,0.00047767594600443684,0.00000022679592401603534,1
BLU9CTF005,0,2025-03-18 00:00:00.000,3.86213567,0.007556634436439601,0.00000022659811113486052,2,0.0004725963525966264,0.00000022659811113486052,1
BLU9CTF005,0,2025-03-17 00:00:00.000,3.86031087,0.007564409299591403,0.0000002270646351259718,2,0.00047257100330159817,0.0000002270646351259718,1
BLU9CTF005,0,2025-03-14 00:00:00.000,3.85848703,0.00757334736180895,0.00000022760154866118487,2,0.0004677978974402955,0.00000022760154866118487,1
BLU9CTF005,0,2025-03-13 00:00:00.000,3.85668246,0.00759425007233077,0.00000022885965936942819,2,0.00047474339986927156,0.00000022885965936942819,1
BLU9CTF005,0,2025-03-12 00:00:00.000,3.85485196,0.007602527738789633,0.00000022935884134549925,2,0.0004745484390524749,0.00000022935884134549925,1
BLU9CTF005,0,2025-03-11 00:00:00.000,3.85302308,0.007612421939915209,0.0000002299562213940573,2,0.00046845624121096864,0.0000002299562213940573,1
BLU9CTF005,0,2025-03-10 00:00:00.000,3.85121853,0.00763733438908158,0.00000023146379591527033,2,0.00047774215149170847,0.00000023146379591527033,1
BLU9CTF005,0,2025-03-07 00:00:00.000,3.84937908,0.00764496907735067,0.0000002319267944192379,2,0.0004825162706266355,0.0000002319267944192379,1
BLU9CTF005,0,2025-03-06 00:00:00.000,3.84752214,0.007642851505828506,0.00000023179832992121056,2,0.0005009880884972897,0.00000023179832992121056,1
BLU9CTF005,0,2025-03-05 00:00:00.000,3.84559506,0.007597312197845062,0.00000022904425647430698,2,0.00048141978986532757,0.00000022904425647430698,1
BLU9CTF005,0,2025-02-28 00:00:00.000,3.84374416,0.0075908337712641116,0.00000022865379898001483,2,0.00048154494830219126,0.00000022865379898001483,1
BLU9CTF005,0,2025-02-27 00:00:00.000,3.84189367,0.007583131451445424,0.00000022819001035674917,2,0.00048196965174606603,0.00000022819001035674917,1
BLU9CTF005,0,2025-02-26 00:00:00.000,3.84004244,0.007573337193541603,0.00000022760093748841512,2,0.0004884263639281482,0.00000022760093748841512,1
BLU9CTF005,0,2025-02-25 00:00:00.000,3.83816732,0.007547124889524631,0.00000022602815118286577,2,0.00047417459162247557,0.00000022602815118286577,1
BLU9CTF005,0,2025-02-24 00:00:00.000,3.83634779,0.0075499673756788,0.00000022619844195958024,2,0.0004700730717565471,0.00000022619844195958024,1
BLU9CTF005,0,2025-02-21 00:00:00.000,3.83454485,0.007562482363832599,0.00000022694896628285356,2,0.0004677215768621571,0.00000022694896628285356,1
BLU9CTF005,0,2025-02-20 00:00:00.000,3.83275177,0.007582029089450407,0.00000022812367108441338,2,0.00047351869643835634,0.00000022812367108441338,1
BLU9CTF005,0,2025-02-19 00:00:00.000,3.83093732,0.0075913333261066526,0.00000022868389550816469,2,0.0004709643222297628,0.00000022868389550816469,1
BLU9CTF005,0,2025-02-18 00:00:00.000,3.82913351,0.007607695320396639,0.00000022967074638089256,2,0.000482878527493464,0.00000022967074638089256,1
BLU9CTF005,0,2025-02-17 00:00:00.000,3.82728495,0.0075993695970510275,0.00000022916832647850593,2,0.0004792168389412014,0.00000022916832647850593,1
BLU9CTF005,0,2025-02-14 00:00:00.000,3.82545129,0.007598226298143305,0.0000002290993764991925,2,0.0004878025937935473,0.0000002290993764991925,1
BLU9CTF005,0,2025-02-13 00:00:00.000,3.82358568,0.007577130952749909,0.0000002278290217266696,2,0.0005661708379563736,0.0000002278290217266696,1
BLU9CTF005,0,2025-02-12 00:00:00.000,3.82142149,0.007352530949658224,0.000000214522664149532,2,0.0005288828697721231,0.000000214522664149532,1
BLU9CTF005,0,2025-02-11 00:00:00.000,3.81940094,0.007190408664537333,0.0000002051665744565617,2,0.0004768166887806075,0.0000002051665744565617,1
BLU9CTF005,0,2025-02-10 00:00:00.000,3.81758022,0.007134393481214234,0.00000020198242200314354,2,0.0004638122729310128,0.00000020198242200314354,1
BLU9CTF005,0,2025-02-07 00:00:00.000,3.81580999,0.007101013184577547,0.0000002000967787600958,2,0.00041916268661879296,0.0000002000967787600958,1
BLU9CTF005,0,2025-02-06 00:00:00.000,3.81421088,0.00716287548011205,0.0000002035983537444065,2,0.00040868440052479836,0.0000002035983537444065,1
BLU9CTF005,0,2025-02-05 00:00:00.000,3.81265239,0.007254620787869691,0.00000020884731260234547,2,0.00045441949959003873,0.00000020884731260234547,1
BLU9CTF005,0,2025-02-04 00:00:00.000,3.81092024,0.007260476437095294,0.00000020918459560958718,2,0.00047161148165349257,0.00000020918459560958718,1
BLU9CTF005,0,2025-02-03 00:00:00.000,3.80912339,0.007227444812935265,0.00000020728554969851133,2,0.00047760710047125714,0.00000020728554969851133,1
BLU9CTF005,0,2025-01-31 00:00:00.000,3.80730456,0.007175158671210052,0.00000020429722998825714,2,0.00047599324211827825,0.00000020429722998825714,1
